Country,Region,M_Age0to14,M_Age15to24,M_Age25to34,M_Age35to44,M_Age45to54,M_Age55to64,M_Age65Plus,F_Age0to14,F_Age15to24,F_Age25to34,F_Age35to44,F_Age45to54,F_Age55to64,F_Age65Plus,TotalPopAffected
COL,AMR,248585208,154580952,129299326,99252691,72372117,46709693,37259685,239580555,150974427,130151582,103057339,77078786,51326108,47045152,1587273669
COM,AFR,4968991,2152736,1360892,1015121,748405,505687,455893,4802739,2215222,1505210,1044537,711788,471345,468744,22427355
CPV,AFR,3559043,1984406,1380137,819851,520411,338641,383476,3474124,1947862,1382012,897527,658534,475995,580898,18402925
CRI,AMR,23454566,14648881,13065121,10486346,7979441,5438834,4988411,22440400,14157668,12835484,10464487,8069172,5591927,5627082,159247838
CUB,AMR,48381726,37338618,35972597,32694111,27554622,19812402,22690812,45532015,35410450,34818107,32724028,28145920,20519402,25221935,446816698
CUW,AMR,195973,139530,110513,105260,123928,108153,100671,187513,131248,116959,130948,157668,140766,148996,1898118
CYM,AMR,164266,111544,162858,161505,115031,62547,44986,161324,113219,167561,162606,115350,63428,54113,1660347
CYP,EUR,4142656,3312360,3479427,2820475,2279952,1750373,1923572,3914847,2986360,3212177,2826094,2338929,1832948,2336635,39156854
CZE,EUR,39237982,28903873,31681154,31746545,27773673,23517699,24261573,37328920,27563573,30307542,30751028,27984211,26128781,37353854,424540387
DEU,EUR,256179989,211563517,238434367,239929345,236818489,193891313,227141122,243452199,199979077,226730381,231725612,233272585,210236071,354974991,3304329040
DJI,EMR,5746333,2946699,2243342,1634347,1087569,667173,478007,5629278,2926252,2278631,1689426,1146821,730744,577147,29781758
DMA,AMR,418785,273511,215113,170704,135779,99226,117220,414861,266697,204387,160744,131587,103454,150684,2862760
DNK,EUR,20211804,14789958,15498377,15915545,14753925,12457084,15350023,19246335,14148638,14964155,15458961,14531918,12786046,20214582,220327356
DOM,AMR,60122786,34957144,27495498,20325455,14447845,9267077,7822184,58135233,34283528,27190891,19915324,14318332,9495528,9015336,346792167
DZA,AFR,221983453,128459086,107751092,76746028,50747932,31656211,25822121,211967154,121181744,102089261,73490816,49651427,32230249,28856936,1262633518
ECU,AMR,90111799,51356446,40887752,30389081,21581500,14240913,12460748,86868997,49965832,40445476,30593737,22147265,15067202,15205687,521322464
EGY,EMR,558412793,295893662,236952135,171755678,118557390,74364712,53716382,527914104,278857382,225227144,165965572,119842383,83022631,75862805,2986344792
ERI,AFR,22796772,10284031,6778471,4699558,3242911,2075539,1512328,22623661,10393679,7158101,5147107,3634888,2408478,1912309,104667838
ESP,EUR,153159067,119675091,130552539,127813877,111211513,91312355,114954324,144661380,114347829,126711392,125427646,112366546,97358386,158561841,1728113743
EST,EUR,5589881,3985699,4250994,3959662,3607105,2900902,2828894,5306033,3764964,4135604,4067021,4026229,3846902,5879351,58149209
ETH,AFR,654847231,285587663,191364946,128370128,85438215,52634335,37082389,632625676,279894841,192952183,132327232,89621773,56960629,43125841,2862833073
FIN,EUR,19474161,13935190,15115866,15360789,14317407,12133587,13315307,18640632,13326772,14374988,14714481,14157144,13035038,20369044,212270445
FJI,WPR,5990749,3353174,2757503,2076979,1511522,918166,565058,5694636,3241660,2654112,2022238,1488013,937670,661195,33872708
FRA,EUR,238736330,164986167,166062793,166173516,152260250,129238120,160382567,227749562,160142171,167455274,167059599,154945857,138693624,233105220,2426991037
FSM,WPR,860413,454806,294368,211850,158783,101861,66972,818178,434542,288566,211686,158144,105169,85764,4251129
GAB,AFR,11026478,5330069,4264330,3019660,2025618,1345201,1222347,10970359,5260354,4073978,2880603,1995017,1397506,1414419,56225939
GBR,EUR,235787958,168124247,174605161,168277284,155236136,133511724,168981320,224425872,163250232,174909497,170078211,157532242,139399707,230711271,2464830836
GEO,EUR,21408063,14122332,13186661,11280372,10353975,8295492,7479234,20700591,14300433,14247361,12757877,11986265,10673624,13272349,184064606
GHA,AFR,178603071,85073928,62098744,41006586,26112348,16472618,11945930,174023096,84335366,63606050,43172676,28840059,18345159,13689356,847325032
GIN,AFR,77457566,34479846,22046098,14177911,9965285,6831959,5847701,75176737,34052216,23429983,16267302,11900685,8458279,7536680,347628225
GMB,AFR,14157676,5974605,4097624,2694624,1729491,1058734,932865,13937227,6110574,4402157,2916208,1813492,1083807,1029415,61938499
GNB,AFR,11908505,5180646,3511274,2241139,1379128,923096,922421,11671250,5273561,3884801,2629822,1679354,1091002,970204,53266218
GNQ,AFR,6611097,3087327,2763135,1927736,1199407,673333,473659,6475835,2884242,2341073,1646717,1150823,724725,596778,32555919
GRC,EUR,37419104,28893449,31330972,30944560,28343663,24158940,33411198,35423493,27616184,30241684,30633138,29186742,25945761,40564802,434113654
GRD,AMR,699148,431521,342703,250582,193781,142490,152838,670707,416035,333109,241261,191908,152656,207918,4426655
GRL,EUR,285970,191416,207849,196221,166340,105741,60225,273506,179041,178732,151319,126090,82056,64536,2269122
GTM,AMR,101145767,50494304,34502872,22362354,14687821,9866016,9015647,98509302,50094876,35387794,23825817,16033081,10697611,10219205,486842432
GUM,WPR,925068,563145,515575,439355,338530,225321,169338,897235,515328,468943,403797,316697,222716,195687,6196721
GUY,AMR,5539465,3120884,2363107,1781375,1268734,788047,605253,5425865,3168094,2453987,1833081,1294967,822679,724368,31189915
HKG,WPR,23091130,19281168,21319978,19910187,17898108,14103328,14437203,21380188,19053973,24251945,22717569,18343452,13491597,16860168,266140027
HND,AMR,56878411,29221027,21070296,14226320,9092861,5689588,4170637,54492182,28431495,20731051,14020215,9017968,5735675,4939204,277716956
HRV,EUR,16621699,12543297,13527388,13216991,12621936,10647485,10910186,15977269,12101540,12993950,12902440,12810619,12213215,17620015,186708024
HTI,AMR,66046691,34699162,25642273,17924656,12435255,8000436,5846993,65432416,34558165,25670822,18097296,12973278,9007356,7850178,344185066
HUN,EUR,37689392,28301992,30248973,30088183,26873557,22829085,23916733,35838126,26980753,29303204,30136468,28806023,27580841,39542696,418136019
IDN,SEA,1389121042,834158650,712377181,564751755,414525797,269106217,201548182,1320640898,801234614,693708128,561208153,422301373,287425932,251328916,8723436843
IND,SEA,7544291591,4301828510,3531565887,2707156313,1977198548,1309894211,992821249,6918125922,3952300863,3246911736,2507837782,1870384770,1285434235,1104806386,43250558048
IRL,EUR,19690808,12710628,11950133,11468099,9433647,7458249,8554819,18724099,12303875,12160867,11476504,9334153,7521164,10634908,163421932
IRN,EMR,428378772,265448738,235557767,170879277,119623683,78365107,56846716,414002441,255578848,224192075,160630444,113300512,76217243,64834386,2663855974
IRQ,EMR,227087354,106324035,73854640,49864799,31428165,18503882,14230882,216823185,103485606,74863060,52813757,35383892,22565988,20931349,1048160644
ISL,EUR,1369199,927958,920666,820901,695289,550891,635598,1307830,890129,872363,784607,677272,548338,754503,11755542
ISR,EUR,36978487,20902675,18193959,15333660,12073192,9226490,11212256,35409639,20063782,18143820,15685268,12690023,10274803,14322075,250510146
ITA,EUR,189137597,151430764,164573841,169908151,160694702,137831501,178337846,179383944,145129180,162763093,171063474,165732258,149507440,249901459,2375395233
